label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09
4	237 kg	0.0913 N	SOCCER	ELECTRICAL ENGINEERING	-630	1043	long beach	1163 m^2	0.881	1187
1	2157 kg	0.146 N	volleyball	Bioinformatics, Human Computer Interaction	758	520	Los Angeles	606 m^2	-1.484	-711
2	1271 kg	0.5166 N	track & field	Data Science, Computer Science	648	325	Irvine	2040 m^2	-0.1644	15
4	2138 kg	1.6769 N	soccer	Electrical Engineering	1280	531	San Bernardino	55 m^2	0.7802	1196
2	1520 kg	0.7643 N	track & field	Technology and Information Management	1533	-172	Riverside, Chula Vista	659 m^2	-0.0208	1642
4	1125 kg	0.7141 N	running	?	-544	1753	Fremont, Fresno, San Francisco	-546 m^2	0.235	-173
0	927 kg	1.2195 N	basketball	Biotechnology	1247	1898	san diego, oakland	1142 m^2	0.2286	1476
2	971 kg	2.7526 N	track & field	Data Science	1080	1580	LOS ANGELES	-562 m^2	-1.8901	-790
3	-785 kg	1.0557 N	boxing	Applied Mathematics	1830	2034	San Jose, Santa Ana, Santa Clarita	428 m^2	0.0272	2817
1	546 kg	2.2214 N	football	Bioinformatics	1486	-808	Bakersfield, Stockton	1148 m^2	0.3269	2459
2	287 kg	1.6541 N	football	Data Science, Technology and Information Management	914	-276	Los Angeles	329 m^2	-0.0583	976
3	457 kg	1.1839 N	badminton	Applied Mathematics, Bioengineering, Natural Language Processing	546	75	Anaheim, Santa Clarita	1571 m^2	-0.0285	1246
1	1389 kg	0.6426 N	volleyball	Games and Playable Media, Human Computer Interaction	457	-326	Riverside, Moreno Valley, Bakersfield, Stockton	1334 m^2	-0.5033	-362
1	32 kg	-0.4635 N	volleyball	Bioinformatics, Human Computer Interaction	-15	691	Moreno Valley	3013 m^2	0.4693	1644
0	122 kg	0.8736 N	baseball	Robotics Engineering	828	538	Oakland	-277 m^2	-0.2064	-1070
2	130 kg	0.7775 N	track & field	Computer Science, Technology and Information Management	686	2322	Irvine	1377 m^2	0.1755	-2
4	728 kg	0.8801 N	motor sports	Electrical Engineering	395	2357	San Francisco, Long Beach	880 m^2	-0.2545	713
2	884 kg	1.4856 N	track & field	Computer Science, Technology and Information Management	2315	662	Irvine	112 m^2	-0.3791	1312
3	-657 kg	0.7923 N	tennis	Bioinformatics, Games and Playable Media	494	727	Santa Ana, Anaheim	2079 m^2	-0.0645	827
4	1227 kg	1.2139 N	soccer	Electrical Engineering	1385	1177	Los Angeles	883 m^2	0.8083	915
1	999 kg	-1.4032 N	basketball	Bioinformatics, Human Computer Interaction	-567	175	Moreno Valley, Bakersfield	-613 m^2	0.7509	943
3	-103 kg	-0.0012 N	tennis	Bioengineering, Statistics	190		anaheim, san jose	-366 m^2	0.168	731
4	-65 kg	0.9049 N	running	Electrical Engineering	747	-1849	FREMONT, LONG BEACH, SAN BERNARDINO	386 m^2	1.4432	-935
2	1106 kg	0.0009 N	track & field	Data Science, Computer Science	230	-246	San Francisco	743 m^2	1.2675	80
0	524 kg	1.8223 N	basketball	Applied Mathematics	276	1034	Modesto, Oakland, San Diego	1928 m^2	0.7534	1037
0	2370 kg	1.3521 N	baseball	BIOTECHNOLOGY	1283	-434	Sacramento, San Diego	344 m^2	-1.0139	2570
1	1534 kg	2.1035 N	football	Human Computer Interaction	1645	479	Moreno Valley	2062 m^2	-0.2623	1214
0	846 kg	1.2765 N	baseball	Robotics Engineering	401	1061	Modesto	1119 m^2	1.519	554
4	1174 kg	-0.6551 N	motor sports	Electrical Engineering	421	-172	San Bernardino, Fresno, Long Beach	1169 m^2	0.8059	1286
0	2035 kg	0.1846 N	golf	Biotechnology, Computer Engineering	2324	723	Modesto, Sacramento, Oakland	1155 m^2	0.3776	155
1	980 kg	2.207 N	volleyball	Human Computer Interaction	53	564	Moreno Valley, Bakersfield, Stockton	-723 m^2	-1.8719	156
1	1184 kg	-0.168 N	football	Bioinformatics, Games and Playable Media	1499	-80	Stockton	-968 m^2	-0.0077	2582
0	1217 kg	1.5027 N	golf	Computer Engineering	1222	2405	San Diego, Modesto, Sacramento	645 m^2	1.2777	1086
3	917 kg	0.0389 N	track & field	Bioengineering, Natural Language Processing, Applied Mathematics	1077	-154	Fremont	70 m^2	-0.1185	982
3	-644 kg	-0.0422 N	tennis	Bioengineering, Natural Language Processing, Computer Game Design, Statistics	1017	-66	Santa Clarita, Anaheim	1602 m^2	0.6519	599
4	1400 kg	0.9251 N	motor sports	Electrical Engineering	-336	-906	Fresno, Fremont	-107 m^2	2.3107	282
3	-63 kg	0.8067 N	badminton	Statistics, Bioengineering, Computer Game Design, Applied Mathematics	419	2178	Santa Clarita	208 m^2	1.1221	-279
0	184 kg	0.4393 N	golf	Robotics Engineering, Biotechnology	218	1456	Modesto, Oakland	1328 m^2	-0.025	681
1	-1160 kg	0.1732 N	volleyball	Human Computer Interaction, Bioinformatics	694	534	Moreno Valley, Stockton, Bakersfield, Chula Vista	-950 m^2	-0.0768	733
2	1026 kg	0.2502 N	track & field	Computer Science, Data Science	1745	1170	San Francisco, San Bernardino, Fremont	-648 m^2	0.2677	-98
0	2126 kg	0.5333 N	baseball	Robotics Engineering	-859	1615	Sacramento	-366 m^2	-0.0502	44
1	1596 kg	1.1768 N	football	Human Computer Interaction, Games and Playable Media	-114	-424	Chula Vista, Moreno Valley, Stockton, Riverside	1198 m^2	-0.8097	2356
4	-1217 kg	-1.3404 N	ice hockey	Biotechnology	-88	-480	Fresno, Fremont, San Bernardino, Long Beach	1031 m^2	0.8373	1475
1	692 kg	0.9671 N	football	Bioinformatics, Human Computer Interaction	77	712	Moreno Valley, Chula Vista, Riverside, Bakersfield	311 m^2	0.1829	60
0	952 kg	-0.8506 N	baseball	Biotechnology	1349	1636	Oakland	366 m^2	1.853	2112
2	715 kg	-0.5318 N	VOLLEYBALL	Technology and Information Management	?	1354	Irvine	1122 m^2	0.0573	372
4	-550 kg	-0.4399 N	ice hockey	Electrical Engineering	515	1016	Fresno, San Bernardino, Fremont, Long Beach	-538 m^2	1.444	-258
4	61 kg	1.5956 N	motor sports	Computational Media	-891	-984	Fremont, Long Beach, San Francisco, Fresno	160 m^2	0.3819	1949
0	697 kg	1.8594 N	ice hockey	Computer Engineering	2043	-764	Fremont, San Francisco, Fresno	870 m^2	-0.65	1061
1	360 kg	0.01 N	boxing	Bioinformatics	696	1424	Moreno Valley, Stockton, Chula Vista, Riverside	-326 m^2	-1.7857	1756
